iter	Passed	Remaining
0	171	170906
1	191	95352
2	210	69934
3	231	57556
4	249	49601
5	267	44333
6	287	40814
7	303	37678
8	313	34515
9	321	31781
10	328	29495
11	333	27480
12	339	25763
13	345	24306
14	350	22986
15	354	21827
16	359	20766
17	363	19857
18	368	19024
19	373	18285
20	377	17597
21	382	17010
22	387	16475
23	392	15946
24	396	15466
25	402	15062
26	406	14665
27	412	14316
28	419	14038
29	424	13714
30	429	13437
31	434	13149
32	438	12862
33	443	12589
34	448	12356
35	452	12110
36	456	11892
37	461	11693
38	466	11496
39	470	11292
40	475	11119
41	480	10951
42	484	10775
43	488	10609
44	493	10470
45	497	10317
46	502	10184
47	507	10059
48	511	9926
49	515	9801
50	520	9691
51	525	9575
52	529	9457
53	534	9359
54	539	9265
55	543	9158
56	547	9060
57	553	8995
58	559	8930
59	564	8844
60	568	8754
61	573	8670
62	578	8598
63	582	8518
64	586	8440
65	591	8370
66	595	8299
67	600	8228
68	605	8163
69	609	8097
70	613	8029
71	618	7968
72	622	7903
73	627	7855
74	632	7794
75	637	7749
76	643	7716
77	649	7674
78	653	7622
79	658	7570
80	663	7528
81	668	7485
82	672	7435
83	677	7384
84	682	7345
85	686	7296
86	690	7249
87	695	7206
88	699	7164
89	704	7119
90	708	7078
91	713	7038
92	717	6995
93	721	6956
94	725	6914
95	730	6880
96	735	6849
97	740	6820
98	746	6792
99	751	6760
100	756	6732
101	761	6700
102	766	6675
103	772	6654
104	777	6626
105	782	6595
106	787	6571
107	793	6555
108	799	6536
109	805	6518
110	811	6502
111	817	6481
112	822	6459
113	827	6432
114	832	6409
115	838	6387
116	843	6366
117	848	6345
118	854	6323
119	859	6301
120	865	6286
121	870	6267
122	876	6252
123	883	6241
124	888	6218
125	893	6199
126	898	6174
127	902	6151
128	907	6128
129	911	6101
130	916	6078
131	921	6059
132	925	6036
133	930	6012
134	934	5990
135	939	5969
136	944	5947
137	948	5925
138	953	5906
139	957	5882
140	962	5863
141	967	5847
142	972	5826
143	976	5803
144	981	5785
145	986	5768
146	990	5746
147	994	5724
148	999	5708
149	1003	5686
150	1008	5668
151	1013	5651
152	1017	5633
153	1022	5614
154	1027	5600
155	1031	5582
156	1036	5564
157	1040	5545
158	1045	5529
159	1049	5511
160	1054	5494
161	1058	5477
162	1063	5462
163	1067	5443
164	1072	5427
165	1077	5411
166	1081	5392
167	1085	5378
168	1090	5363
169	1095	5347
170	1100	5335
171	1105	5322
172	1111	5311
173	1115	5295
174	1119	5278
175	1124	5263
176	1128	5249
177	1133	5232
178	1137	5217
179	1141	5202
180	1146	5187
181	1151	5173
182	1156	5161
183	1160	5145
184	1164	5130
185	1169	5117
186	1174	5104
187	1179	5093
188	1184	5082
189	1189	5071
190	1194	5058
191	1198	5043
192	1203	5030
193	1207	5018
194	1212	5004
195	1216	4991
196	1221	4980
197	1226	4969
198	1231	4955
199	1235	4942
200	1240	4930
201	1244	4916
202	1249	4904
203	1253	4892
204	1258	4879
205	1262	4866
206	1267	4856
207	1273	4848
208	1279	4842
209	1285	4834
210	1289	4823
211	1295	4814
212	1300	4805
213	1306	4796
214	1311	4789
215	1317	4780
216	1322	4772
217	1327	4761
218	1332	4751
219	1339	4747
220	1344	4740
221	1349	4729
222	1355	4724
223	1360	4713
224	1365	4703
225	1371	4697
226	1377	4689
227	1382	4680
228	1386	4669
229	1391	4660
230	1397	4651
231	1401	4638
232	1405	4627
233	1410	4617
234	1415	4606
235	1419	4595
236	1423	4583
237	1428	4573
238	1432	4561
239	1437	4550
240	1441	4540
241	1446	4529
242	1450	4519
243	1455	4509
244	1459	4498
245	1464	4487
246	1468	4477
247	1473	4467
248	1477	4456
249	1481	4445
250	1486	4436
251	1491	4426
252	1495	4416
253	1500	4407
254	1504	4396
255	1508	4385
256	1513	4376
257	1518	4366
258	1522	4355
259	1527	4346
260	1531	4337
261	1536	4326
262	1540	4317
263	1546	4310
264	1550	4299
265	1554	4290
266	1559	4281
267	1563	4271
268	1568	4261
269	1572	4252
270	1579	4249
271	1585	4243
272	1590	4234
273	1594	4225
274	1599	4216
275	1604	4208
276	1609	4200
277	1614	4192
278	1619	4185
279	1624	4177
280	1628	4166
281	1632	4156
282	1637	4148
283	1641	4139
284	1646	4129
285	1650	4121
286	1655	4112
287	1659	4101
288	1663	4093
289	1668	4084
